word,tf,pmi,info_ent
目前,0.00010518183834263057,6.450557581141139,4.714641136082146
当然,0.00010469443408710401,5.722870438269168,4.2406082446871975
地图,0.00010469443408710401,6.02487016377482,3.945673279187587
感觉,0.00010293977876720842,6.9747297241506026,4.110375295679254
上线,0.0001019649702561553,5.282466504422699,4.244980769291799
RNG,0.00010147756600062875,6.691322111145858,4.577300710446359
朋友,0.0001001128340851544,7.733667984876762,3.3053726608967895
选手,9.982039153183846e-05,5.415631690098818,3.665605572092631
后期,9.982039153183846e-05,5.2267275682930245,4.372554105201211
英雄联盟,9.92355064252066e-05,6.910127953500043,3.8729296748136286
分钟,9.884558302078536e-05,6.899592978815724,2.826927565955343
推荐,9.806573621194287e-05,8.222222135006616,4.581826859068896
主播,9.767581280752162e-05,6.733560077243989,4.346928954325808
