word,tf,pmi,info_ent
发现,0.00010114173354098037,5.234470467943836,4.18789000008945
推荐,9.841539717174676e-05,8.189054759286957,4.462556302124578
朋友,9.788082141307351e-05,7.722614140169953,3.3372197061393813
队伍,9.74531608061349e-05,7.317261913279808,3.905296721655951
分钟,9.694531383539531e-05,6.913212859846358,2.8056609919340145
小伙伴,9.614345019738541e-05,6.837300151384373,2.953509783031809
控制,9.611672140945175e-05,7.428153728922685,4.462454296815864
回复,9.55821456507785e-05,6.84117143285618,4.221873754302102
网友,9.392496079889139e-05,6.369587053722793,4.059707277788463
上线,9.379131685922309e-05,5.173491332420827,4.099443940621167
各种,9.365767291955477e-05,6.872806020269407,4.561051890788288
战场,9.285580928154489e-05,5.032479574572216,1.7999749450735858
位置,9.253506382634092e-05,6.747523016289384,3.3889798416865986
